X,Y,X,Y,id,gridarea,buildingfootprintarea,percentbuilt,join_Point_X,join_Point_Y,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley
20925.3672263441,30629.939189327,103.76975,1.29328,"272",399.99950,196.49210,49.12309,103.76986,1.29321,2.37444,14.87433,Zone 4,,Temparea,Valley
20945.4016935497,30710.6583724762,103.76993,1.29401,"341",399.99951,253.19242,63.29818,103.77002,1.29401,0.00000,17.77776,Zone 4,,Temparea,Valley
20945.4011961945,30690.7548886601,103.76993,1.29383,"342",399.99951,271.53812,67.88461,103.77002,1.29401,0.00000,18.65892,Zone 4,,Temparea,Valley
20945.4006712836,30669.7456557738,103.76993,1.29364,"343",399.99951,74.08657,18.52167,103.77002,1.29401,3.62539,17.75491,Zone 4,,Temparea,Valley
20945.4001740706,30649.842172016,103.76993,1.29346,"344",399.99951,58.69757,14.67441,103.77000,1.29357,1.11128,16.92973,Zone 4,,Temparea,Valley
20945.3996769269,30629.9386882865,103.76993,1.29328,"345",399.99951,228.05469,57.01374,103.76986,1.29321,0.00000,15.82204,Zone 4,,Temparea,Valley
20945.3991798523,30610.0352045853,103.76993,1.29310,"346",399.99951,180.81848,45.20468,103.76986,1.29321,0.00000,15.37545,Zone 4,,Temparea,Valley
20965.4346343508,30730.5613563492,103.77011,1.29419,"413",399.99951,222.44029,55.61014,103.77002,1.29401,0.00000,21.46424,Zone 4,,Temparea,Valley
20965.4341383386,30710.6578725743,103.77011,1.29401,"414",399.99951,149.29524,37.32386,103.77002,1.29401,0.00000,21.15491,Zone 4,,Temparea,Valley
20965.4336423955,30690.7543888277,103.77011,1.29383,"415",399.99951,165.27213,41.31808,103.77002,1.29401,0.00000,20.26315,Zone 4,,Temparea,Valley
20965.4331189747,30669.7451560148,103.77011,1.29364,"416",399.99951,107.88941,26.97239,103.77000,1.29357,1.07200,20.09497,Zone 4,,Temparea,Valley
20965.4326231734,30649.8416723265,103.77011,1.29346,"417",399.99951,155.72951,38.93243,103.77026,1.29350,0.00000,19.77473,Zone 4,,Temparea,Valley
